Symbol,Timestamp,Open,High,Low,Close,Volume,Open Interest,Date
FUT11,45071.0,89.7,90.0,89.5,90.0,0.0,0.0,2023-05-25
FUT2,45071.0,80175.0,80250.0,77000.0,77000.0,21433.0,76502.0,2023-05-25
FUT3,45071.0,79.675,79.7,76.625,76.675,917582.3542394962,51830.0,2023-05-25
FUT4,45071.0,72.9,72.9,70.95,70.95,6321.0,35387.0,2023-05-25
FUT6,45071.0,7550.0,7557.5,7432.5,7475.0,1853.0,509733.6756025868,2023-05-25
FUT7,45071.0,80.45,80.5,79.5,79.875,223.0,3928.0,2023-05-25
FUT9,45071.0,90.85,91.025,90.025,90.4,62.0,608.0,2023-05-25
FUT1,45072.0,77.25,77.725,75.45,76.25,9845.0,30554.0,2023-05-26
FUT3,45072.0,76.65,76.925,73.475,74.125,0.0,0.0,2023-05-26
FUT4,45072.0,71.0,71.575,68.625,69.125,8280.0,35824.0,2023-05-26
FUT5,45072.0,69.475,69.9,67.325,67.575,7571.0,25734.0,2023-05-26
FUT3,45076.0,74.6,78.8,74.425,78.8,15421.0,53403.0,2023-05-30
FUT5,45076.0,67.8,71.525,67.8,71.125,4980.0,26008.0,2023-05-30
FUT9,45076.0,90.2,92.0,90.2,91.9,177.0,679.0,2023-05-30
FUT1,45077.0,81.325,82.925,81.325,82.825,10925.0,25843.0,2023-05-31
FUT2,45078.0,83925.0,83975.0,80900.0,82050.0,24733.0,67134.0,2023-06-01
FUT4,45078.0,75.625,75.65,72.75,73.95,6569.0,35897.0,2023-06-01
FUT5,45078.0,72.85,72.975,70.9,72.175,5550.0,25997.0,2023-06-01
FUT6,45078.0,7755.0,7757.5,7620.0,7742.5,1523.0,13438.0,2023-06-01
FUT9,45078.0,92.4,92.8,91.925,92.8,129.0,692.0,2023-06-01
FUT1,45079.0,84.0,87.0,83.85,86.7,12729.0,19705.0,2023-06-02
FUT10,45079.0,93.0,93.375,92.775,93.35,1260.6490368936863,198.0,2023-06-02
FUT2,45079.0,82500.0,84900.0,82475.0,84475.0,20345.0,66294.0,2023-06-02
FUT3,45079.0,80.325,82.5,80.3,82.25,10732.0,56442.0,2023-06-02
FUT5,45079.0,72.175,73.725,72.075,73.675,4464.0,26392.0,2023-06-02
FUT8,45079.0,8730.0,8730.0,8730.0,8730.0,14.0,18.0,2023-06-02
FUT9,45079.0,93.0,93.475,92.4,93.4,256.0,808.0,2023-06-02
FUT2,45082.0,83600.0,85000.0,82325.0,84225.0,21207.0,65159.0,2023-06-05
FUT3,45082.0,81.425,82.25,80.025,81.675,12779.0,58234.0,2023-06-05
FUT4,45082.0,75.1,76.525,74.25,76.325,6699.0,37474.0,2023-06-05
FUT9,45082.0,92.425,93.65,92.375,93.65,142.0,823.0,2023-06-05
FUT11,45083.0,93.5,94.1,93.5,94.0,39.0,82.0,2023-06-06
FUT5,45083.0,74.65,75.425,74.5,75.325,5331.0,27613.0,2023-06-06
FUT8,45083.0,8932.5,8942.5,8890.0,8942.5,30.0,104.0,2023-06-06
FUT9,45083.0,94.0,95.15,94.0,95.15,113.0,832.0,2023-06-06
FUT1,45084.0,87.5,88.3,87.125,87.8,6709.0,15887.0,2023-06-07
FUT10,45084.0,94.425,94.7,94.425,94.7,22.0,213.0,2023-06-07
FUT11,45084.0,93.55,93.55,93.5,93.5,1994.4963897752568,110.0,2023-06-07
FUT3,45084.0,84.0,84.85,82.675,83.35,25371.0,60020.0,2023-06-07
FUT11,45085.0,92.975,93.5,92.975,93.5,0.0,0.0,2023-06-08
FUT4,45085.0,75.65,75.65,74.025,74.5,9480.0,36346.0,2023-06-08
FUT6,45085.0,7842.5,7880.0,7767.5,7857.5,3443.0,15357.0,2023-06-08
FUT7,45085.0,83.7,84.4,83.225,84.225,598.0,4673.0,2023-06-08
FUT10,45086.0,94.275,95.075,94.275,95.075,25.0,255.0,2023-06-09
FUT11,45086.0,93.65,93.65,93.125,93.125,224.6962557926452,116.0,2023-06-09
FUT2,45086.0,87000.0,90200.0,86975.0,89875.0,29286.0,48802.0,2023-06-09
FUT3,45086.0,82.175,84.475,82.1,84.2,23359.0,70067.0,2023-06-09
FUT4,45086.0,74.05,75.875,74.05,75.7,9692.0,36800.0,2023-06-09
FUT5,45086.0,72.0,73.5,71.975,73.35,256465.81299113444,24740.0,2023-06-09
FUT7,45086.0,84.2,84.6,83.325,84.475,546.0,4789.0,2023-06-09
FUT8,45086.0,8880.0,8880.0,8782.5,8880.0,0.0,0.0,2023-06-09
FUT1,45089.0,87.5,87.9,87.1,87.175,4742.0,13165.0,2023-06-12
FUT3,45089.0,83.975,87.975,83.95,86.925,27948.0,72636.0,2023-06-12
FUT6,45089.0,7955.0,8037.5,7870.0,8034.999999999999,4029.0,16729.0,2023-06-12
FUT9,45089.0,94.825,95.275,94.1,95.275,146.0,864.0,2023-06-12
FUT3,45090.0,87.175,87.85,85.85,87.425,0.0,0.0,2023-06-13
FUT4,45090.0,77.55,78.325,76.7,78.3,10917.0,37248.0,2023-06-13
FUT6,45090.0,8032.5,8130.0,7945.0,8097.499999999999,2496.0,16933.0,2023-06-13
FUT7,45090.0,85.375,86.275,84.65,86.0,750.0,5024.0,2023-06-13
FUT8,45090.0,8990.0,9042.5,8952.5,9020.0,43.0,129.0,2023-06-13
FUT2,45091.0,91025.0,93500.0,91025.0,93000.0,18885.0,35116.0,2023-06-14
FUT4,45091.0,78.8,80.375,78.7,79.95,8273.0,37553.0,2023-06-14
FUT5,45091.0,75.675,76.775,75.525,76.375,5708.0,25311.0,2023-06-14
FUT6,45091.0,8132.5,8200.0,8120.0,8159.999999999999,3386.0,16808.0,2023-06-14
FUT7,45091.0,86.425,86.925,86.225,86.425,1594.0,465605.6235879225,2023-06-14
FUT1,45092.0,92.5,94.3,91.175,91.925,20461.0,32814.0,2023-06-15
FUT10,45092.0,95.0,95.0,95.0,95.0,1.0,219.0,2023-06-15
FUT8,45092.0,9625.0,9660.0,9585.0,9632.5,171.0,1180.0,2023-06-15
FUT9,45092.0,95.9,96.6,95.875,95.875,8.0,299.0,2023-06-15
FUT1,45093.0,92.1,93.725,92.1,92.9,16256.0,29927.0,2023-06-16
FUT3,45093.0,80.0,2160.167622886653,79.225,79.925,7334.0,38562.0,2023-06-16
FUT5,45093.0,81.3,81.925,80.7,80.825,2276.0,16823.0,2023-06-16
FUT9,45093.0,96.45,96.45,95.775,95.775,0.0,0.0,2023-06-16
FUT1,45097.0,94.5,95.975,94.25,95.55,14133.0,25867.0,2023-06-20
FUT2,45097.0,92100.0,93375.0,91050.0,92775.0,0.0,0.0,2023-06-20
FUT3,45097.0,81.25,81.725,80.175,81.275,7775.0,39341.0,2023-06-20
FUT4,45097.0,76.925,77.475,76.125,77.275,5555.0,26703.0,2023-06-20
FUT6,45097.0,8672.5,8707.5,8600.0,8690.0,1301.0,6408.0,2023-06-20
FUT7,45097.0,91.325,91.375,91.175,91.175,8.0,140.0,2023-06-20
FUT8,45097.0,9695.0,9735.0,9647.5,9730.0,473.0,77048.56879221855,2023-06-20
FUT2,45098.0,92000.0,93700.0,91900.0,92825.0,18827.0,73652.0,2023-06-21
FUT3,45098.0,80.65,81.775,80.475,81.1,7686.0,40493.0,2023-06-21
FUT4,45098.0,77.275,77.9,76.7,77.425,3913.0,27411.0,2023-06-21
